Id,age,years_of_experience,lesson_price,qualification,physics,chemistry,biology,english,geography,history,mean_exam_points,choose
0,35.0,0.0,2150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0
1,52.0,2.0,1250.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,57.0,1
2,29.0,3.0,1750.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,0
3,33.0,3.0,1050.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1
4,46.0,3.0,2250.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,0
5,37.0,3.0,1050.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
6,54.0,3.0,800.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,1
7,32.0,2.0,2750.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,95.0,0
8,56.0,3.0,1300.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,0
9,44.0,4.0,2350.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0
10,39.0,2.0,2050.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0
11,47.0,4.0,2400.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,66.0,0
12,38.0,4.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0
13,53.0,0.0,1300.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,64.0,0
14,51.0,2.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0
15,31.0,2.0,3000.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,0
16,50.0,2.0,1550.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
17,38.0,0.0,2250.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,1
18,54.0,5.0,1150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
19,41.0,0.0,1200.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,0
20,53.0,2.0,1300.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,72.0,1
21,48.0,3.0,650.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,0
22,35.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
23,40.0,3.0,1550.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,0
24,52.0,5.0,2200.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0
25,47.0,4.0,2700.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,96.0,0
26,47.0,1.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0
27,36.0,3.0,1550.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,61.0,0
28,42.0,1.0,2200.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,1
29,47.0,0.0,1500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0
30,48.0,4.0,3050.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0
31,40.0,2.0,1400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,0
32,49.0,0.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0
33,50.0,3.0,1200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
34,54.0,1.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,0
35,52.0,0.0,1300.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0,1
36,45.0,5.0,1250.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,0
37,55.0,1.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0
38,38.0,4.0,1150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0
39,32.0,0.0,1550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
40,52.0,3.0,800.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0
41,54.0,1.0,2250.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,77.0,0
42,32.0,3.0,1150.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,0
43,54.0,0.0,1750.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
44,60.0,0.0,1450.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
45,37.0,3.0,2150.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,74.0,0
46,63.0,0.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
47,49.0,3.0,2050.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0
48,50.0,1.0,1450.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,66.0,0
49,35.0,2.0,1100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
50,55.0,1.0,1400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
51,46.0,0.0,1450.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0
52,47.0,3.0,1250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0
