user_id,actual,own_rec_baseline
1,"[  880007   883616   931136   938004   940947   947267   952924   958046
   959219   961554   962568   965766   976335   979707   986947   990656
   991024  1004906  1005186  1037507  1037863  1045285  1046816  1049998
  1062002  1075074  1087268  1112333  1131321  1132231  5582712  9527558
 12330539 13877012 15800711 15830875]","[856942, 9297615, 1074612, 5577022, 8293439]"
2,"[  820165   820291   826784   826835   829009   857849   866211   866950
   870608   874058   879769   885023   899624   903674   922663   940947
   947798   951412   951590   956440   960791   976065   986293   988044
   989101   989935   990656  1003188  1003421  1006474  1013321  1026118
  1037965  1044759  1049788  1053690  1079659  1096317  1108168  1116821
  1131974  1133018  1135476  1139142  5568228  7167853  7410217  8019273
 12263464 12263604 12302069 13133971 13417250 14110837 15596879 15687014
 15926927 15973010 17249704]","[1076580, 838136, 911974, 5567582, 831125]"
3,"[  827683   908531   989069  1071377  1080155  1096727  1130858  1133018
  7441391 13095461 13213518 13842214 15452812]","[835476, 921345, 998206, 964594, 864615]"
6,"[  956902   960791  1037863  1119051  1137688   840361   847738   849843
   908813   948650   976480   992393   994928   995242  1055911  1082398
  1099058  1100159  6633075  6703892 12757544 15863528 15863530 17903110
   976978  1036773  6034249   936741   986912  1016276  1063207  1110392
   904521   940804  1128665 13190283  8181994 12384953   946489  1055646
  5580166 12263234 12263614   852856  1011457  6554077]","[13003092, 995598, 6979393, 1119051, 5580166]"
7,"[  847270   855557   859987   863407   895454   906636   930918   938700
   954673   957013   963502   993838   998549  1008715  1011241  1018769
  1022003  1041616  1048256  1050229  1055504  1055646  1057513  1070910
  1082185  1112667  1122358  1127232  1133018  1135578  5565265  5591154
  5978656  5981267  5995491  6396566  7168286  9420082  9522352 10121610
 10456186 12428210 12695481 13112721 14106445 15452140 15716278 16809431
   820165   836281   842707   848609   856345   857981   861246   873044
   882850   885917   909714   949836   961554   973773   990797   992128
  1001412  1003188  1013321  1047523  1050524  1062782  1071939  1079023
  1083548  1094619  5568378  5592610  5592694  8249164  9420048  9527257
 10285005 10285119 12525256 12777679 13213296 15741535 18055204]","[949836, 845814, 840386, 1075524, 9338009]"
8,"[  846334   850834   857503   862139   865891   878290   885863   906262
   918733   925711   932863   953476   982790   988736  1004906  1012873
  1018339  1054851  1082185  1096563  1114883  1131321  1134058  7167865
  7168233  8019273  8090993  9268695 12352204 13115915 13189991 13653496
 15736860 15927932 15972927   832937   848071   862854   873178   897752
   922415   950824   958350   980984   981086   991083  1021519  1029743
  1041259  1043301  1062002  1101956 10121965 12171618 15511302 17248807
   830631   846652   992192  1005186  1026209  1085803  5584620  5584808
  5585639  5585735  5590287  7167860 12131942 12695809 13115701 15452231
 15452644 15452833   825994   850058   867138   947232  9188792  9419585
 13133557   826239   862525   872729   908346   909714   972569   997506
  1000228  1055853  1059891  1071342  8181377   974177  1044275  1084591
  6514073  6548399 16059169]","[8181377, 1116578, 919963, 969932, 1070803]"
9,[ 883404  995242 1056005  889692  911140  918046],"[889692, 1135468, 864335, 1056005, 10457112]"
10,[ 871162  962118  986912 1043766 1068504 1106523 1108940 1128900 6034222],"[1138423, 863762, 900370, 959409, 830582]"
13,"[  878996   923746   942525   943076   951590   985178  1014238  1029743
  1038985  1082185  1138854  5978648  6464165  7442056 12301334  6534178
   870826   898466   995242  1036431 12301825 13115579 13133916 13382195
 14025593   825365   838097   838602   862070   862152   886317   886577
   909338   951197   961851   968164  1004906  1011578  1075214  1120256
  1127624  1132771  5978656  6039592  7168417  9677874  9858920  9859111
 13512204   833870   895817  1015280  1042942  1104575  8090509  8090521
  8090539  8090565 12128605   826249   996402  1103275  1131351 12427353
 18119016]","[6544236, 965772, 1038985, 893802, 857736]"
14,"[  833715   835098   835347   846823   853643   855310   859075   869577
   871756   878445   879808   881466   882288   883963   893018   898068
   898349   902377   904774   905868   907014   913089   917387   920145
   928049   933067   939847   941295   942693   945090   949784   951190
   951590   951674   965693   967757   969846   976955   981760   985521
   985893  1004945  1013321  1015231  1025611  1026063  1027168  1029743
  1058930  1075470  1079223  1082310  1085161  1091499  1104649  1119761
  1121384  1122358  1131344  1137387  5568378  5569327  5590158  5592734
  7024814  9526430  9526892  9527542  9798186  9836106 12524190 12695224
 13003100 13003402 13072980 13841744 15596872 15717398 16729415   826163
  1022003 12302114   844179   912681   921836   925205   959985   994928
  1015785  1040371  1064389  1127758  1129819  5569471  6979594  9835223
 13876901]","[902377, 1123106, 1008012, 13876901, 861615]"
15,"[  901666   966014   967205   968215  1098844  1127179  1070820 10341697
   839326  1130729]","[823576, 910439, 7024847, 1135059, 920002]"
16,[ 9677923 12263788],"[6410462, 923149, 1100533, 12263439, 9835695]"
18,"[  886291   897098   948420  1029313  1137688  9677886 15452812   819845
   878467  1101706  1116821  1128477  5568729 13672062 17179856   938118
  1027191  1046148  9221631 15559802 15716195  6533889   894494   944486
   947211   951412   961998   990797  1011026  1058779  8157322  9878513
 12263409   825118   826249   832288   834022   866211   904813   925077
   933354  1053628  1085719  1102248  9487463  9836460   837644   840361
   845975   860488   870929   878715   939694   950697  1010766  1048563
  5565784  6772835]","[1022066, 1003699, 1118878, 9677886, 921277]"
